keys,en,zh
"ui.language","Language","语言"
"ui.language.zh","中文","中文"
"ui.language.en","English","English"
"ui.close","Close","关闭"
"ui.confirm","Confirm","确认"
"ui.cancel","Cancel","取消"
"ui.reset","Reset","重置"
"ui.retry","Fight Again","再战一局"
"ui.loading","Loading...","载入中..."
"scenario.title","Relieve Zhao by Besieging Wei","围魏救赵"
"scenario.subtitle","354 BCE · Qi vs Wei","公元前354年 · 齐魏争霸"
"scenario.turn","Turn","回合"
"scenario.activeUnits","Units","部队"
"scenario.supplyNodes","Nodes","节点"
"scenario.mapCenter","Wei-Zhao Border · Daliang–Handan Theater","魏赵边境 · 大梁—邯郸战区"
"phase.DEPLOY","Deploy — Position troops, plant spies, set decoys","布阵 — 部署兵力、安插细作、布置疑兵"
"phase.STRATEGIZE","Strategize — Issue orders, move troops, execute stratagems","运筹 — 下达军令、调兵遣将、施计用间"
"phase.RESOLVE","Resolve — Heaven calculates, blades clash, supply lines contend","决胜 — 天机演算、兵锋交加、粮道争锋"
"phase.AFTERMATH","Aftermath — Tally the score, mandate shifts, history inscribes","论功 — 清算战果、天命流转、史笔如铁"
"map.mode.default","Default","默认"
"map.mode.supply","Supply","补给"
"map.mode.morale","Morale","士气"
"map.mode.territory","Territory","势力"
"map.mode.hint","1-4 toggle","1-4切换"
"map.legend.allied","Qi/Zhao","齐/赵"
"map.legend.hostile","Wei","魏"
"map.legend.deception","Decoy","疑兵"
"map.view.allied","Qi/Zhao View","齐/赵视角"
"map.view.hostile","Wei View","魏军视角"
"map.tip","Right-click unit for menu | 1-4 toggle map modes","右键部队开菜单 | 1-4 切换地图模式"
"map.tip.cutSupply","Click supply line to sever","点击补给线切断粮道"
"unit.selected","Selected Unit","选中单位"
"unit.none","Click a unit on the map to inspect","点击地图部队查看详情"
"unit.none.sub","Right-click a unit for command menu","右键部队打开命令菜单"
"unit.faction.qi","Qi/Zhao Coalition","齐/赵联军"
"unit.faction.wei","Wei Army","魏军"
"unit.label.fake","Decoy","疑兵"
"unit.label.routed","Routed","溃散"
"unit.stat.name","Name","名称"
"unit.stat.size","Troops","兵力"
"unit.stat.supply","Supply","粮草"
"unit.stat.morale","Morale","士气"
"unit.stat.attack","ATK","攻"
"unit.stat.defense","DEF","防"
"unit.stat.speed","SPD","速"
"command.title","Orders","军令 · 预设"
"command.deploy.hint","Deploy decoy units (isFake) to deceive Wei:","部署疑兵（isFake单位）以迷惑魏军："
"command.deploy.placeholder","Decoy name, e.g. Qi Right Flank","疑兵营号，如：齐军右翼"
"command.deploy.button","Deploy Decoy (500 men + 50 supply)","部署疑兵（500人+50粮）"
"command.deploy.size.5k","5,000","5千"
"command.deploy.size.10k","10,000","1万"
"command.deploy.size.20k","20,000","2万"
"command.deploy.size.40k","40,000","4万"
"command.strategize.hint","Select an allied unit to act:","选择己方部队后可执行："
"command.move.north","↑ North","↑ 北进"
"command.move.south","↓ South","↓ 南移"
"command.move.west","← West","← 西行"
"command.move.east","→ East","→ 东征"
"command.attack.targets","Attack Targets","攻击目标"
"command.special","Special Actions","特殊行动"
"command.scout","Send Scout","斥候侦察"
"command.cutSupply","Sever Supply","切断粮道"
"command.resolve","⚔️ Execute Turn","⚔️ 执行回合结算"
